ad_id,date,utm_medium,utm_campain,cost
fvb2cab6c8,2026-04-03,display,facebook_video_campaign_9,27.08
fs767e2714,2026-04-03,video,facebook_stories_campaign_3,47.74
ff458d541e,2026-04-03,display,facebook_feed_campaign_5,42.24
ff14c4ff09,2026-04-04,display,facebook_feed_campaign_6,26.61
ff4f7713d5,2026-04-04,social,facebook_feed_campaign_7,25.67
ffb1f290f5,2026-04-04,cpc,facebook_feed_campaign_10,43.67
ff84d6d783,2026-04-05,social,facebook_feed_campaign_6,55.47
ff2c29078b,2026-04-05,social,facebook_feed_campaign_7,25.07
fsdaf03679,2026-04-05,display,facebook_stories_campaign_9,50.12
ffbfd82d75,2026-04-06,social,facebook_feed_campaign_7,32.03
fv8b51355e,2026-04-06,shopping,facebook_video_campaign_7,55.15
fv165d9499,2026-04-06,display,facebook_video_campaign_7,37.75
fv47a3c0a8,2026-04-07,display,facebook_video_campaign_8,34.18
ffab8e13ee,2026-04-07,social,facebook_feed_campaign_4,31.13
ff36b32408,2026-04-07,cpc,facebook_feed_campaign_5,36.75
fvd3ce7119,2026-04-08,social,facebook_video_campaign_8,32.01
fvd26998fe,2026-04-08,display,facebook_video_campaign_2,52.5
fsf30c2e3c,2026-04-08,video,facebook_stories_campaign_10,37.59
ff90417a11,2026-04-09,shopping,facebook_feed_campaign_7,40.67
ff047790dc,2026-04-09,social,facebook_feed_campaign_3,34.47
fv45ab9ef3,2026-04-09,cpc,facebook_video_campaign_5,47.79
fv18ded47f,2026-04-10,social,facebook_video_campaign_1,27.54
fv21a5b09e,2026-04-10,video,facebook_video_campaign_5,40.3
fs1aa89207,2026-04-10,shopping,facebook_stories_campaign_1,44.99
ff19a5d94b,2026-04-11,video,facebook_feed_campaign_4,28.75
fvafc6a3be,2026-04-11,shopping,facebook_video_campaign_3,38.25
fse2822581,2026-04-11,shopping,facebook_stories_campaign_4,45.3
ff06b8f726,2026-04-12,shopping,facebook_feed_campaign_6,49.27
fs7c8b7f9e,2026-04-12,display,facebook_stories_campaign_10,50.25
fv3f202b8f,2026-04-12,video,facebook_video_campaign_6,52.19
fv49b9a1c5,2026-04-13,shopping,facebook_video_campaign_9,30.12
fv6aaed5ad,2026-04-13,video,facebook_video_campaign_5,48.24
ff17cee78d,2026-04-13,cpc,facebook_feed_campaign_8,28.8
ffcbf3bd70,2026-04-14,cpc,facebook_feed_campaign_5,53.95
ffb16de626,2026-04-14,social,facebook_feed_campaign_7,43.14
fv074867d8,2026-04-14,social,facebook_video_campaign_4,26.86
fv955ef55a,2026-04-15,video,facebook_video_campaign_4,44.45
ff98646822,2026-04-15,cpc,facebook_feed_campaign_5,29.93
ff9a307b34,2026-04-15,cpc,facebook_feed_campaign_9,35.71
ff6988c7c8,2026-04-16,display,facebook_feed_campaign_2,29.16
fsf2a981c6,2026-04-16,display,facebook_stories_campaign_5,42.25
ff860e3ca6,2026-04-16,video,facebook_feed_campaign_10,39.72
fs00c655ff,2026-04-17,shopping,facebook_stories_campaign_10,43.66
fvf072556a,2026-04-17,display,facebook_video_campaign_6,33.86
fs539ae755,2026-04-17,social,facebook_stories_campaign_8,34.55
fsd12aee6c,2026-04-18,social,facebook_stories_campaign_2,46.4
fvafda83d5,2026-04-18,video,facebook_video_campaign_7,41.81
ffb90046c9,2026-04-18,cpc,facebook_feed_campaign_10,53.92
fs334bd8e8,2026-04-19,cpc,facebook_stories_campaign_9,44.19
ff7d30346c,2026-04-19,social,facebook_feed_campaign_6,33.73
fv8f53108e,2026-04-19,cpc,facebook_video_campaign_1,35.52
fvc008b18c,2026-04-20,video,facebook_video_campaign_4,40.13
ffe4e9d5c1,2026-04-20,video,facebook_feed_campaign_5,45.17
fv3f642888,2026-04-20,video,facebook_video_campaign_8,48.42
ffc860c8f0,2026-04-21,video,facebook_feed_campaign_7,38.42
ff61a571ef,2026-04-21,video,facebook_feed_campaign_4,45.32
fv41abc365,2026-04-21,social,facebook_video_campaign_3,40.85
