ad_id,date,utm_medium,utm_campain,cost
gs2495fa2d,2026-04-03,social,google_search_campaign_3,41.13
gs32f5c145,2026-04-03,social,google_search_campaign_8,49.84
gs1df9cfa5,2026-04-03,video,google_search_campaign_8,53.68
gs17101d4e,2026-04-04,cpc,google_search_campaign_9,51.34
gs7f3a17f1,2026-04-04,video,google_shopping_campaign_3,49.42
gsa3c7d30b,2026-04-04,cpc,google_shopping_campaign_10,60.12
gs703db423,2026-04-05,cpc,google_search_campaign_8,47.14
gs4414e1c9,2026-04-05,video,google_shopping_campaign_8,48.51
gsb806a315,2026-04-05,display,google_shopping_campaign_7,47.52
gd479f7275,2026-04-06,social,google_display_campaign_3,44.01
gs99adac5a,2026-04-06,video,google_shopping_campaign_8,40.99
gscbb7f36c,2026-04-06,video,google_search_campaign_4,38.38
gs94a36787,2026-04-07,video,google_search_campaign_2,41.81
gd84fefa02,2026-04-07,display,google_display_campaign_4,52.17
gsaa0225ea,2026-04-07,display,google_shopping_campaign_3,56.55
gdbe0119b8,2026-04-08,shopping,google_display_campaign_6,54.51
gd3d175643,2026-04-08,video,google_display_campaign_1,60.3
gs2666456a,2026-04-08,social,google_search_campaign_4,50.67
gs1fef2161,2026-04-09,shopping,google_search_campaign_5,35.28
gdf41431a3,2026-04-09,display,google_display_campaign_9,61.29
gs16f98c5b,2026-04-09,cpc,google_search_campaign_4,47.35
gsd3e76aa5,2026-04-10,cpc,google_search_campaign_1,49.44
gs0a232857,2026-04-10,social,google_shopping_campaign_6,53.39
gs62fe5bbc,2026-04-10,display,google_search_campaign_2,47.51
gs52af8fc7,2026-04-11,video,google_search_campaign_8,53.19
gs24046f3a,2026-04-11,cpc,google_search_campaign_10,59.74
gs18108640,2026-04-11,shopping,google_shopping_campaign_7,55.69
gs1b0a4634,2026-04-12,social,google_shopping_campaign_4,54.96
gsf7978aa8,2026-04-12,cpc,google_shopping_campaign_10,58.87
gsc331f861,2026-04-12,shopping,google_search_campaign_10,63.89
gdb8fefd9b,2026-04-13,cpc,google_display_campaign_4,38.38
gs111f07cc,2026-04-13,cpc,google_shopping_campaign_6,48.98
gd6e99fac8,2026-04-13,cpc,google_display_campaign_6,38.6
gd63d2cdcd,2026-04-14,video,google_display_campaign_7,56.06
gsbb29822d,2026-04-14,cpc,google_shopping_campaign_9,54.32
gs8b73abf9,2026-04-14,display,google_shopping_campaign_2,54.68
gddcaa798d,2026-04-15,social,google_display_campaign_5,50.64
gd75c08b50,2026-04-15,shopping,google_display_campaign_7,42.04
gsa8af4b22,2026-04-15,shopping,google_shopping_campaign_10,35.26
gs45a197ab,2026-04-16,video,google_shopping_campaign_1,57.38
gda7832c9e,2026-04-16,shopping,google_display_campaign_10,43.51
gsd5e5d168,2026-04-16,display,google_shopping_campaign_1,52.33
gs8f56904e,2026-04-17,cpc,google_search_campaign_6,45.41
gse56afcb7,2026-04-17,video,google_search_campaign_1,36.92
gs374bd2c7,2026-04-17,social,google_search_campaign_3,40.72
gs44509097,2026-04-18,social,google_shopping_campaign_9,64.71
gd839e6018,2026-04-18,social,google_display_campaign_5,50.53
gs185f3e0a,2026-04-18,video,google_shopping_campaign_10,57.98
gdc4696b6c,2026-04-19,cpc,google_display_campaign_9,61.08
gs85f4805b,2026-04-19,shopping,google_search_campaign_1,39.79
gs8bcda9d1,2026-04-19,cpc,google_shopping_campaign_10,36.95
gs5982408a,2026-04-20,social,google_shopping_campaign_7,61.93
gs150569f3,2026-04-20,cpc,google_search_campaign_10,50.66
gda4bbda1d,2026-04-20,display,google_display_campaign_8,44.05
gd786998c1,2026-04-21,social,google_display_campaign_10,43.28
gs8cf66652,2026-04-21,video,google_search_campaign_10,38.17
gsd0526bf5,2026-04-21,shopping,google_search_campaign_9,38.57
gs066bb1b3,2026-04-22,video,google_shopping_campaign_10,37.05
gdcce12d21,2026-04-22,shopping,google_display_campaign_6,46.22
gs7787743b,2026-04-22,display,google_search_campaign_4,64.35
gsf0f07fbf,2026-04-23,cpc,google_search_campaign_8,60.59
gdcf5b53d8,2026-04-23,video,google_display_campaign_3,53.1
gd2a73b153,2026-04-23,video,google_display_campaign_6,51.35
gs5e9e1394,2026-04-24,cpc,google_shopping_campaign_3,58.38
gs7000efc9,2026-04-24,video,google_search_campaign_3,42.96
gs0aee06ce,2026-04-24,video,google_shopping_campaign_2,36.64
gseff45e37,2026-04-25,video,google_search_campaign_9,61.29
gd3ae4cfd8,2026-04-25,shopping,google_display_campaign_7,36.44
gs3e590308,2026-04-25,display,google_shopping_campaign_3,40.15
gd337ede94,2026-04-26,shopping,google_display_campaign_8,58.88
gse03883d9,2026-04-26,shopping,google_shopping_campaign_1,61.81
gs79832b41,2026-04-26,shopping,google_search_campaign_2,40.35
gde29fb35f,2026-04-27,video,google_display_campaign_7,45.83
gs1c8131ed,2026-04-27,video,google_search_campaign_4,53.07
gsaeb2306a,2026-04-27,display,google_search_campaign_7,44.31
gscd2b59c1,2026-04-28,social,google_search_campaign_4,51.18
gs03051add,2026-04-28,shopping,google_shopping_campaign_10,63.08
gsdc80733c,2026-04-28,video,google_search_campaign_6,44.66
gd3f1a136e,2026-04-29,shopping,google_display_campaign_7,38.48
gd2748153f,2026-04-29,cpc,google_display_campaign_1,38.07
gs7c07bab1,2026-04-29,video,google_search_campaign_4,60.4
gd8ed02006,2026-04-30,shopping,google_display_campaign_5,37.78
gd4f683553,2026-04-30,shopping,google_display_campaign_2,44.48
gd6f62c6e0,2026-04-30,video,google_display_campaign_2,38.19
gsbc229f1f,2026-05-01,display,google_search_campaign_7,49.95
gdf9217ff8,2026-05-01,video,google_display_campaign_4,45.43
gsb1a96f54,2026-05-01,shopping,google_shopping_campaign_3,55.59
gdae58af70,2026-05-02,social,google_display_campaign_4,44.03
gdf5db1a64,2026-05-02,cpc,google_display_campaign_7,43.39
gs526dc125,2026-05-02,display,google_search_campaign_10,35.19
gsc1cde449,2026-05-03,cpc,google_search_campaign_10,48.76
gdeb36806d,2026-05-03,display,google_display_campaign_1,49.87
